Espacialidades;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;mortalidade;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23
Pentecoste;0,56;80,2;65,13;97,01;98,22;37,69;19,89;36,11;60;35400;29,4;2,43;56,48;8,28;56,12;40;104,69;93,78;24,8;9,85;264,95;25,4;35,94;34,53
Pereiro;0,53;78,53;56,82;93,09;98,98;40,72;25,69;43,18;47;15757;22,1;2,12;59,26;9,72;65,4;53;113,18;95,1;29,57;9,2;209,49;32,65;46,67;33,08
Pindoretama;0,45;87,36;59,07;86,21;98,73;30,8;24,34;33,67;47;18683;25,7;2,19;51,17;9,18;54,96;53;105,05;93,02;21,7;9,46;296,99;11,67;17,74;35,97
Piquet Carneiro;0,52;63,96;62,56;97,24;99,27;35,08;28,34;47,05;55;15467;21,6;1,9;49,57;10,51;62,95;45;96,23;88,77;26,34;9,16;217,02;29,58;44,88;30,39
Pires Ferreira;0,51;72,27;58,34;76,57;99,78;35,87;22,4;44,02;49;10216;23,2;2,36;62,83;10,81;69,25;51;115,81;94,71;29,94;10,4;191,39;33,14;45,11;36,41
Poranga;0,54;72,34;56,26;60,68;97,78;30,36;24,62;52,24;42;12001;27,2;2,49;61,74;8,82;69,58;58;109,46;93,88;33,97;9,28;212,87;32,89;46,26;32,4
Porteiras;0,49;62,63;61,45;97,98;99,47;39,68;19,91;36,1;35;15061;23,9;2,32;56,33;9,27;57,32;65;110,33;93,93;29,17;9,42;218,44;24,96;35,75;38,85
Potengi;0,58;65,49;60,52;92,85;99,12;32,86;24,92;54,56;52;10276;24,9;2,43;64,07;9,07;67,77;48;109,94;88,46;34,52;8,34;215,12;33,2;47,22;29,77
Potiretama;0,5;50,5;55,97;88,25;98,93;30,02;27,19;41,38;39;6126;25,8;2,35;51,82;7,67;56,7;61;110,25;93,4;29,11;9,5;236,09;23,51;34,94;33,81
Quiterianópolis;0,55;61,06;56,2;88,44;96,17;29,47;25,48;48,15;38;19921;22,3;2,48;57,43;9,53;62,7;62;108,1;94,47;32,81;10,04;208,58;33,36;44,43;28,84
Quixadá;0,53;72,09;63,66;91,26;99,39;35,42;20,21;32,24;53;80604;22,2;2,08;54,51;8,09;47,35;47;102,86;91,63;22,94;9,69;317,66;17,65;26,97;34,82
Quixelô;0,51;82,24;65,79;96,71;99,69;28,18;12,6;40,96;51;15000;31,2;2,42;51,67;9,89;56,06;49;106,26;93,45;36,7;10,34;242,27;27,44;42,38;36,08
Quixeramobim;0,56;78,72;71,91;89,83;99,07;29,93;26,05;35,35;54;71887;20;2,11;55,65;9,04;51,28;46;107,29;92,75;24,2;9,35;317,45;19,57;28,21;36
Quixeré;0,44;88,55;85,61;96,49;99,35;21,79;21,06;42,2;60;19412;22,4;2,33;48,39;6,95;58,1;40;105,03;91,82;26,03;9,73;260,79;13,93;20,64;36,37
Redenção;0,5;72,84;59,2;86,54;99,91;32,22;27,43;37,45;51;26415;26,5;2,06;56,72;8,86;62,61;50;109,39;94,27;24,32;9,3;273,08;19,99;29,25;37,29
Reriutaba;0,6;77,73;65,4;84,73;99,38;31,17;16;48,93;49;19455;24,6;2,18;63,43;10,76;65,74;51;108,62;92,48;29,25;9,72;260,65;29,29;42,04;32,47
Russas;0,46;88,02;77,47;95,68;99,73;23,46;18,79;32,79;51;69833;19,8;1,85;46,86;7,31;47,24;49;106,35;93,29;19,59;10,48;372,43;7,55;12,4;37,15
Saboeiro;0,54;62,66;54,53;97,09;91,09;33,09;17,95;50,44;45;15752;33,3;2,63;61,46;9,48;61,81;55;107,28;92,85;33,5;9;220,94;31,8;43,71;34,63
Salitre;0,49;13,46;24,41;79,14;94,95;45,48;33,94;62,13;53;15453;29,9;2,63;67,08;7,17;73,31;47;109,38;93,13;39,98;8,94;176,75;30,94;40,75;33,42
Santana do Acaraú;0,66;61,98;55,16;78,65;98,68;43,67;31,67;50,94;50;29946;25,6;2,34;61,7;8,23;64,24;50;106,39;91,38;29,56;8,84;224,83;39,1;50,5;26,27
Santana do Cariri;0,56;60,84;44,32;92,34;97,3;47,2;33,59;39,38;42;17170;21,6;2,46;67,63;8,72;58,37;58;109,08;93,78;30;10,32;212,7;33,68;46,29;35,41
Santa Quitéria;0,56;70,35;55,58;77,6;97,59;30,78;14,68;41,34;55;42763;22,3;2,55;57,79;9,1;57,44;45;113,26;95,53;27,43;9,82;238,84;30,69;42,57;32,09
São Benedito;0,51;86,7;75,89;89,48;99,86;27,03;24,75;45,4;48;44178;24,1;2,53;60,99;8,24;63,5;52;110,88;93,1;27,09;9,64;263,94;19,29;27,44;42,13
São Gonçalo do Amarante;0,51;84,02;59,66;82,78;98,46;33,31;27,37;30,3;48;43890;22,3;2,22;51,2;6,72;55,84;52;112,58;96,2;20,12;10,28;309,14;15,32;20,28;32,95
São João do Jaguaribe;0,5;96,16;90,89;99,04;99,72;19,58;16,65;36,2;47;7900;20,8;1,52;47,61;12,43;51,57;53;107,57;95,48;25,8;9,94;378,76;14,25;25,94;40,11
São Luís do Curu;0,51;69,28;51,77;91,3;98,38;34,31;24,55;34,43;47;12332;32,4;2,22;52,78;8,86;48,91;53;106,47;90,58;22,37;9,55;257,9;22,07;28,32;37,63
Senador Pompeu;0,51;76,83;68,67;88,63;98,49;26,56;23,22;45,55;48;26469;23;1,94;55,75;10,67;64,08;52;101,51;91,9;27,06;9,99;283,8;21,06;32,03;31,88
Senador Sá;0,52;82,46;63,22;52,5;97,71;43,02;25,09;41,65;46;6852;29,2;2,45;62,52;7,57;63,64;54;109,74;94,3;33,16;9,45;214,23;30,99;44,36;38,14
Sobral;0,56;95,01;88,02;95,61;99,53;38,22;23,53;26,08;43;188233;13,58;1,85;47,42;6,09;52,99;57;116,15;95,16;17;10,66;448,89;8,9;13,46;36,31
Solonópole;0,51;75,98;77,78;97,09;99,52;24,81;26,83;37,1;45;17665;25,8;1,98;55,02;10,97;63,05;55;105,42;95,26;26,22;9,91;269,25;22,85;34,67;37,14
Tabuleiro do Norte;0,53;75,47;78,83;93,76;99,67;23,75;18,58;42,91;55;29204;19,8;2;46,74;8,26;60,44;45;130,22;94,04;22,54;9,19;379,75;15,35;23,04;30,31
Tamboril;0,52;81,34;57,02;83,72;99,02;35,42;27,16;49,97;54;25451;21,7;2,43;60,25;9,89;58,56;46;110,24;92,91;32,97;9,61;211,64;31,03;44,56;33,43
Tarrafas;0,54;77,41;66,34;95,26;98,44;39,08;27,77;53,04;36;8910;26,4;1,74;56,56;9,48;67,11;64;102,05;91,15;35,51;9,69;214,72;36,36;53,19;31,37
Tauá;0,57;78,22;66,54;96,07;98,83;28,01;22,83;42,14;44;55716;22,5;2,06;57,06;9,88;57,48;56;109,02;93,17;27,34;9,86;305,42;20,19;30,54;33,26
Tejuçuoca;0,52;59,92;37,69;95,99;97,79;46,21;40,79;48,12;36;16827;27,9;2,57;60,41;7,73;66,61;64;105,2;93,18;27,78;9,42;199,81;30,68;42,69;33,97
Tianguá;0,61;89,94;77,16;85,39;99,48;32,86;24,04;45,32;48;68892;23,4;2,51;56,02;6,45;59,3;52;113,82;93,17;24,02;9,68;398,29;13,16;20,99;42,62
Trairi;0,55;75,99;34,38;77,94;96,45;35,08;31,8;38,33;52;51422;28,5;2,74;60,67;7,83;57,66;48;108,46;94,6;23,62;10,45;205,89;32,4;42,71;31,45
Tururu;0,54;79,47;58,27;88,48;99,09;39,91;32,85;38,22;50;14408;24,8;2,57;56,56;8,42;66,5;50;104,56;92,95;28;9,89;188,84;34,36;46,07;29
Ubajara;0,54;80,45;71;93,93;99,13;28,12;13,52;34,15;54;31787;23,2;2,48;56,69;7,81;52,41;46;113,67;95,15;24,57;9,88;325,13;14,77;21,51;37,62
Umari;0,55;80,46;51,73;71,44;99,75;32,49;13,67;48,34;45;7545;21,8;1,9;60,33;11,65;62,56;55;105,78;92,97;32,46;8,51;223,62;30,53;46,49;34,72
Umirim;0,53;77,86;44,25;91,2;98,57;42,46;27,32;44,76;46;18802;26,3;2,86;59,61;7,28;53,51;54;106,7;91,53;28,47;9,1;195,42;32,4;44,27;32,47
Uruburetama;0,54;76,87;63,64;95,87;98,56;45,58;24,64;35,46;58;19765;24,8;2,61;56,17;7,07;56,78;42;104,45;92,94;22,85;10,14;267,47;18,78;25,55;36,21
Uruoca;0,53;71,33;54,77;85,25;97,31;41,43;33,92;57,32;44;12883;27,4;2,79;59,56;7,93;63,27;56;102,59;92,96;36,46;9,85;182,85;34,17;45,64;32,86
Varjota;0,52;91,82;80,78;87;99,32;33,83;22,94;41,61;40;17593;30,7;2,43;62,81;10,33;62,04;60;109,32;92,64;26,67;9,47;286,41;18,45;27,04;40,93
Várzea Alegre;0,54;84,62;80,52;91,21;99,71;31,02;23,29;36,57;47;38434;24,9;2,13;55,53;10,91;62,86;53;110,22;91,67;28,56;9,8;276,17;25,16;38,25;37,23
Viçosa do Ceará;0,6;65,81;38,79;80,43;98,56;39,57;32,89;50,99;62;54955;25,9;2,82;63,26;7,54;73,66;38;103,65;92,03;31,42;8,94;204,23;36,84;49,3;33,12
